smiles,pka_values,functional_groups,mapping,pka_matrix
CC(=O)N[C@@H](C(O)=O)C(C)(C)S,"[3.29, 10.1]","[{'type': 'COOH', 'indices': [6]}, {'type': 'Thiol', 'indices': [11]}]","{'3.29': {'type': 'COOH', 'indices': [6]}, '10.1': {'type': 'Thiol', 'indices': [11]}}","[(6, 3.29), (11, 10.1)]"
CC(=O)N[C@@H](CC(O)=O)C(O)=O,"[3.04, 4.49]","[{'type': 'COOH', 'indices': [7]}, {'type': 'COOH', 'indices': [10]}]","{'3.04': {'type': 'COOH', 'indices': [7]}, '4.49': {'type': 'COOH', 'indices': [10]}}","[(7, 3.04), (10, 4.49)]"
CC(=O)N[C@@H](CCC(O)=O)C(O)=O,"[3.29, 4.6]","[{'type': 'COOH', 'indices': [8]}, {'type': 'COOH', 'indices': [11]}]","{'3.29': {'type': 'COOH', 'indices': [8]}, '4.6': {'type': 'COOH', 'indices': [11]}}","[(8, 3.29), (11, 4.6)]"
CC(=O)N[C@@H](CS)C(O)=O,"[3.11, 9.58]","[{'type': 'COOH', 'indices': [8]}, {'type': 'Thiol', 'indices': [6]}]","{'3.11': {'type': 'COOH', 'indices': [8]}, '9.58': {'type': 'Thiol', 'indices': [6]}}","[(8, 3.11), (6, 9.58)]"
CC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,"[2.84, 7.02]","[{'type': 'COOH', 'indices': [12]}, {'type': 'Imidazole', 'indices': [10]}]","{'2.84': {'type': 'COOH', 'indices': [12]}, '7.02': {'type': 'Imidazole', 'indices': [10]}}","[(12, 2.84), (10, 7.02)]"
CC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,"[3.04, 7.09]","[{'type': 'COOH', 'indices': [24]}, {'type': 'Imidazole', 'indices': [22]}]","{'3.04': {'type': 'COOH', 'indices': [24]}, '7.09': {'type': 'Imidazole', 'indices': [22]}}","[(24, 3.04), (22, 7.09)]"
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,"[2.96, 7.06]","[{'type': 'COOH', 'indices': [20]}, {'type': 'Imidazole', 'indices': [18]}]","{'2.96': {'type': 'COOH', 'indices': [20]}, '7.06': {'type': 'Imidazole', 'indices': [18]}}","[(20, 2.96), (18, 7.06)]"
OC(=O)CCSCC(O)=O,"[3.27, 4.34]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [8]}]","{'3.27': {'type': 'COOH', 'indices': [0]}, '4.34': {'type': 'COOH', 'indices': [8]}}","[(0, 3.27), (8, 4.34)]"
OC(=O)CCSCCC(O)=O,"[3.925, 4.7]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [9]}]","{'3.925': {'type': 'COOH', 'indices': [0]}, '4.7': {'type': 'COOH', 'indices': [9]}}","[(0, 3.925), (9, 4.7)]"
OC(=O)CC[Se]CCC(O)=O,"[3.94, 4.7]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [9]}]","{'3.94': {'type': 'COOH', 'indices': [0]}, '4.7': {'type': 'COOH', 'indices': [9]}}","[(0, 3.94), (9, 4.7)]"
OC(=O)CC[Te]CCC(O)=O,"[3.92, 4.77]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [9]}]","{'3.92': {'type': 'COOH', 'indices': [0]}, '4.77': {'type': 'COOH', 'indices': [9]}}","[(0, 3.92), (9, 4.77)]"
OC(=O)CCc1c[nH]cn1,"[3.83, 7.44]","[{'type': 'COOH', 'indices': [0]}, {'type': 'Imidazole', 'indices': [9]}]","{'3.83': {'type': 'COOH', 'indices': [0]}, '7.44': {'type': 'Imidazole', 'indices': [9]}}","[(0, 3.83), (9, 7.44)]"
OC(=O)CC(O)=O,"[2.665, 5.33]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [5]}]","{'2.665': {'type': 'COOH', 'indices': [0]}, '5.33': {'type': 'COOH', 'indices': [5]}}","[(0, 2.665), (5, 5.33)]"
OC(=O)CN(CC(O)=O)c1ccc(c2ccccc12)[S](O)(=O)=O,"[2.76, 3.92]","[{'type': 'SulfonicAcid', 'indices': [20]}, {'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.76': {'type': 'COOH', 'indices': [0]}, '3.92': {'type': 'COOH', 'indices': [7]}}","[(0, 2.76), (7, 3.92)]"
CCCCO[P]([O-])(=O)O[P](O)(O)=O,"[1.3, 6.65]","[{'type': 'PhosphonicAcid', 'indices': [10]}, {'type': 'PhosphonicAcid', 'indices': [11]}]","{'1.3': {'type': 'PhosphonicAcid', 'indices': [10]}, '6.65': {'type': 'PhosphonicAcid', 'indices': [11]}}","[(10, 1.3), (11, 6.65)]"
Oc1ccc(c2cccnc12)[S](O)(=O)=O,"[3.9, 8.37]","[{'type': 'SulfonicAcid', 'indices': [12]}, {'type': 'Phenol', 'indices': [0]}, {'type': 'Pyridine', 'indices': [9]}]","{'3.9': {'type': 'Pyridine', 'indices': [9]}, '8.37': {'type': 'Phenol', 'indices': [0]}}","[(9, 3.9), (0, 8.37)]"
Oc1c(Br)cc(Br)c2cccnc12,"[2.6, 7.3]","[{'type': 'Phenol', 'indices': [0]}, {'type': 'Pyridine', 'indices': [11]}]","{'2.6': {'type': 'Phenol', 'indices': [0]}, '7.3': {'type': 'Phenol (guess)', 'indices': [0]}}","[(0, 2.6), (0, 7.3)]"
Oc1c(I)cc(I)c2cccnc12,"[2.7, 8.0]","[{'type': 'Phenol', 'indices': [0]}, {'type': 'Pyridine', 'indices': [11]}]","{'2.7': {'type': 'Phenol', 'indices': [0]}, '8.0': {'type': 'Phenol (guess)', 'indices': [0]}}","[(0, 2.7), (0, 8.0)]"
Oc1c(cc(c2cccnc12)[S](O)(=O)=O)N=O,"[1.81, 5.52]","[{'type': 'SulfonicAcid', 'indices': [12]}, {'type': 'Phenol', 'indices': [0]}, {'type': 'Pyridine', 'indices': [9]}]","{'1.81': {'type': 'SulfonicAcid', 'indices': [12]}, '5.52': {'type': 'Pyridine', 'indices': [9]}}","[(12, 1.81), (9, 5.52)]"
Oc1c(cc(c2cccnc12)[S](O)(=O)=O)[N+]([O-])=O,"[1.72, 5.34]","[{'type': 'SulfonicAcid', 'indices': [12]}, {'type': 'Phenol', 'indices': [0]}, {'type': 'Pyridine', 'indices': [9]}]","{'1.72': {'type': 'SulfonicAcid', 'indices': [12]}, '5.34': {'type': 'Pyridine', 'indices': [9]}}","[(12, 1.72), (9, 5.34)]"
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(O)=O,"[3.8, 7.78]","[{'type': 'COOH', 'indices': [23]}, {'type': 'PrimaryAmine', 'indices': [3]}]","{'3.8': {'type': 'COOH', 'indices': [23]}, '7.78': {'type': 'PrimaryAmine', 'indices': [3]}}","[(23, 3.8), (3, 7.78)]"
c1cc(ccn1)C=Cc2ccncc2,"[4.41, 5.65]","[{'type': 'Pyridine', 'indices': [5]}, {'type': 'Pyridine', 'indices': [11]}]","{'4.41': {'type': 'Pyridine', 'indices': [5]}, '5.65': {'type': 'Pyridine', 'indices': [11]}}","[(5, 4.41), (11, 5.65)]"
c1ccc(C=Cc2ccccn2)nc1,"[2.81, 4.95]","[{'type': 'Pyridine', 'indices': [12]}, {'type': 'Pyridine', 'indices': [11]}]","{'2.81': {'type': 'Pyridine', 'indices': [12]}, '4.95': {'type': 'Pyridine', 'indices': [11]}}","[(12, 2.81), (11, 4.95)]"
[O-][NH+]1CCCNCCNC(=O)C(CCc2ccccn2)C(=O)NCC1,"[5.22, 9.33]","[{'type': 'Pyridine', 'indices': [19]}, {'type': 'SecondaryAmine', 'indices': [1]}, {'type': 'SecondaryAmine', 'indices': [5]}]","{'5.22': {'type': 'Pyridine', 'indices': [19]}, '9.33': {'type': 'SecondaryAmine', 'indices': [1]}}","[(19, 5.22), (1, 9.33)]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(O)=O,"[3.13, 7.82]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.13': {'type': 'COOH', 'indices': [19]}, '7.82': {'type': 'PrimaryAmine', 'indices': [2]}}","[(19, 3.13), (2, 7.82)]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(O)=O,"[3.26, 7.94]","[{'type': 'COOH', 'indices': [14]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.26': {'type': 'COOH', 'indices': [14]}, '7.94': {'type': 'PrimaryAmine', 'indices': [2]}}","[(14, 3.26), (2, 7.94)]"
C1CNCCNCCC(NCCNC1)c2ccccc2,"[10.06, 10.7]","[{'type': 'SecondaryAmine', 'indices': [2]}, {'type': 'SecondaryAmine', 'indices': [5]}, {'type': 'SecondaryAmine', 'indices': [9]}, {'type': 'SecondaryAmine', 'indices': [12]}]","{'10.06': {'type': 'SecondaryAmine', 'indices': [2]}, '10.7': {'type': 'SecondaryAmine', 'indices': [5]}}","[(2, 10.06), (5, 10.7)]"
CC(=C/C(O)=O)/C(O)=O,"[2.2, 5.6]","[{'type': 'COOH', 'indices': [4]}, {'type': 'COOH', 'indices': [7]}]","{'2.2': {'type': 'COOH', 'indices': [4]}, '5.6': {'type': 'COOH', 'indices': [7]}}","[(4, 2.2), (7, 5.6)]"
C[C@H](NC(=O)CN)C(=O)NCC(O)=O,"[3.34, 7.96]","[{'type': 'COOH', 'indices': [12]}, {'type': 'PrimaryAmine', 'indices': [6]}]","{'3.34': {'type': 'COOH', 'indices': [12]}, '7.96': {'type': 'PrimaryAmine', 'indices': [6]}}","[(12, 3.34), (6, 7.96)]"
CC(=O)CN(CC(O)=O)CC(O)=O,"[2.62, 7.71]","[{'type': 'COOH', 'indices': [7]}, {'type': 'COOH', 'indices': [11]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.62': {'type': 'COOH', 'indices': [7]}, '7.71': {'type': 'TertiaryAmine', 'indices': [4]}}","[(7, 2.62), (4, 7.71)]"
C1CNCCCNC1,"[7.07, 10.65]","[{'type': 'SecondaryAmine', 'indices': [2]}, {'type': 'SecondaryAmine', 'indices': [6]}]","{'7.07': {'type': 'SecondaryAmine', 'indices': [2]}, '10.65': {'type': 'SecondaryAmine', 'indices': [6]}}","[(2, 7.07), (6, 10.65)]"
C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"[3.31, 8.28]","[{'type': 'COOH', 'indices': [21]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.31': {'type': 'COOH', 'indices': [21]}, '8.28': {'type': 'PrimaryAmine', 'indices': [2]}}","[(21, 3.31), (2, 8.28)]"
C[C@H](N)C(=O)NC(C)(C)C(O)=O,"[3.49, 8.22]","[{'type': 'COOH', 'indices': [10]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.49': {'type': 'COOH', 'indices': [10]}, '8.22': {'type': 'PrimaryAmine', 'indices': [2]}}","[(10, 3.49), (2, 8.22)]"
C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(O)=O,"[3.38, 7.86]","[{'type': 'COOH', 'indices': [20]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.38': {'type': 'COOH', 'indices': [20]}, '7.86': {'type': 'PrimaryAmine', 'indices': [2]}}","[(20, 3.38), (2, 7.86)]"
C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(O)=O,"[3.18, 7.85]","[{'type': 'COOH', 'indices': [16]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.18': {'type': 'COOH', 'indices': [16]}, '7.85': {'type': 'PrimaryAmine', 'indices': [2]}}","[(16, 3.18), (2, 7.85)]"
Cn1cncc1CC(NC(=O)CCN)C(O)=O,"[7.03, 9.33]","[{'type': 'COOH', 'indices': [15]}, {'type': 'ImidazoleLike', 'indices': [1]}, {'type': 'ImidazoleLike', 'indices': [3]}, {'type': 'PrimaryAmine', 'indices': [13]}]","{'7.03': {'type': 'PrimaryAmine', 'indices': [13]}, '9.33': {'type': 'ImidazoleLike', 'indices': [1]}}","[(13, 7.03), (1, 9.33)]"
C[C@H](N)C(=O)NCC(O)=O,"[3.13, 8.11]","[{'type': 'COOH', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.13': {'type': 'COOH', 'indices': [8]}, '8.11': {'type': 'PrimaryAmine', 'indices': [2]}}","[(8, 3.13), (2, 8.11)]"
C[C@H](N)C(=O)NO,"[7.26, 9.15]","[{'type': 'NHydroxylamine', 'indices': [6]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'7.26': {'type': 'PrimaryAmine', 'indices': [2]}, '9.15': {'type': 'NHydroxylamine', 'indices': [6]}}","[(2, 7.26), (6, 9.15)]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(O)=O,"[3.34, 8.2]","[{'type': 'COOH', 'indices': [21]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.34': {'type': 'COOH', 'indices': [21]}, '8.2': {'type': 'PrimaryAmine', 'indices': [2]}}","[(21, 3.34), (2, 8.2)]"
Cc1ncc(CO)c(C)c1O,"[5.36, 9.34]","[{'type': 'Phenol', 'indices': [10]}, {'type': 'Pyridine', 'indices': [2]}]","{'5.36': {'type': 'Pyridine', 'indices': [2]}, '9.34': {'type': 'Phenol', 'indices': [10]}}","[(2, 5.36), (10, 9.34)]"
Cc1ncc(CO)c(C=O)c1O,"[4.1, 8.53]","[{'type': 'Phenol', 'indices': [11]}, {'type': 'Pyridine', 'indices': [2]}]","{'4.1': {'type': 'Pyridine', 'indices': [2]}, '8.53': {'type': 'Phenol', 'indices': [11]}}","[(2, 4.1), (11, 8.53)]"
Cc1ncc(CO)c(CO)c1O,"[4.85, 8.81]","[{'type': 'Phenol', 'indices': [11]}, {'type': 'Pyridine', 'indices': [2]}]","{'4.85': {'type': 'Pyridine', 'indices': [2]}, '8.81': {'type': 'Phenol', 'indices': [11]}}","[(2, 4.85), (11, 8.81)]"
C[C@@](CCC(O)=O)(NC(=O)c1ccccc1)C(O)=O,"[3.51, 4.63]","[{'type': 'COOH', 'indices': [5]}, {'type': 'COOH', 'indices': [17]}]","{'3.51': {'type': 'COOH', 'indices': [5]}, '4.63': {'type': 'COOH', 'indices': [17]}}","[(5, 3.51), (17, 4.63)]"
O[P](O)(=O)Oc1ccc2ccccc2c1,"[1.2, 5.74]","[{'type': 'PhosphonicAcid', 'indices': [0]}, {'type': 'PhosphonicAcid', 'indices': [2]}]","{'1.2': {'type': 'PhosphonicAcid', 'indices': [0]}, '5.74': {'type': 'PhosphonicAcid', 'indices': [2]}}","[(0, 1.2), (2, 5.74)]"
O[P](O)(=O)CBr,"[1.2, 6.24]","[{'type': 'Phosphate', 'indices': [0]}, {'type': 'Phosphate', 'indices': [2]}]","{'1.2': {'type': 'Phosphate', 'indices': [0]}, '6.24': {'type': 'Phosphate', 'indices': [2]}}","[(0, 1.2), (2, 6.24)]"
O[P](O)(=O)CCBr,"[1.6, 6.9]","[{'type': 'Phosphate', 'indices': [0]}, {'type': 'Phosphate', 'indices': [2]}]","{'1.6': {'type': 'Phosphate', 'indices': [0]}, '6.9': {'type': 'Phosphate', 'indices': [2]}}","[(0, 1.6), (2, 6.9)]"
Oc1cccnc1,"[4.89, 8.5]","[{'type': 'Phenol', 'indices': [0]}, {'type': 'Pyridine', 'indices': [5]}]","{'4.89': {'type': 'Pyridine', 'indices': [5]}, '8.5': {'type': 'Phenol', 'indices': [0]}}","[(5, 4.89), (0, 8.5)]"
Oc1cnccc1C=O,"[4.04, 6.7]","[{'type': 'Phenol', 'indices': [0]}, {'type': 'Pyridine', 'indices': [3]}]","{'4.04': {'type': 'Pyridine', 'indices': [3]}, '6.7': {'type': 'Phenol', 'indices': [0]}}","[(3, 4.04), (0, 6.7)]"
C[C@@H](NC(=O)[C@@H]1CCCN1)C(O)=O,"[3.15, 9.09]","[{'type': 'COOH', 'indices': [11]}, {'type': 'SecondaryAmine', 'indices': [9]}]","{'3.15': {'type': 'COOH', 'indices': [11]}, '9.09': {'type': 'SecondaryAmine', 'indices': [9]}}","[(11, 3.15), (9, 9.09)]"
CC(C)C[C@H](N)C(=O)NCC(=O)N[C@@H](CC(C)C)C(O)=O,"[3.33, 7.75]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'3.33': {'type': 'COOH', 'indices': [19]}, '7.75': {'type': 'PrimaryAmine', 'indices': [5]}}","[(19, 3.33), (5, 7.75)]"
CC(C)C[C@H](N)C(=O)NCC(=O)N[C@H](CC(C)C)C(O)=O,"[3.32, 7.79]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'3.32': {'type': 'COOH', 'indices': [19]}, '7.79': {'type': 'PrimaryAmine', 'indices': [5]}}","[(19, 3.32), (5, 7.79)]"
CC(C)C[C@H](N)C(=O)NCC(O)=O,"[3.11, 8.0]","[{'type': 'COOH', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'3.11': {'type': 'COOH', 'indices': [11]}, '8.0': {'type': 'PrimaryAmine', 'indices': [5]}}","[(11, 3.11), (5, 8.0)]"
O[P](O)(=O)C(Br)Br,"[0.8, 5.4]","[{'type': 'Phosphate', 'indices': [0]}, {'type': 'Phosphate', 'indices': [2]}]","{'0.8': {'type': 'Phosphate', 'indices': [0]}, '5.4': {'type': 'Phosphate', 'indices': [2]}}","[(0, 0.8), (2, 5.4)]"
O[P](O)(=O)O[P]([O-])(=O)Oc1ccccc1,"[1.3, 6.32]","[{'type': 'PhosphonicAcid', 'indices': [0]}, {'type': 'PhosphonicAcid', 'indices': [2]}]","{'1.3': {'type': 'PhosphonicAcid', 'indices': [0]}, '6.32': {'type': 'PhosphonicAcid', 'indices': [2]}}","[(0, 1.3), (2, 6.32)]"
CSCC[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(O)=O,"[3.24, 7.27]","[{'type': 'COOH', 'indices': [18]}, {'type': 'PrimaryAmine', 'indices': [9]}]","{'3.24': {'type': 'COOH', 'indices': [18]}, '7.27': {'type': 'PrimaryAmine', 'indices': [9]}}","[(18, 3.24), (9, 7.27)]"
C[C@@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"[3.31, 7.83]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.31': {'type': 'COOH', 'indices': [19]}, '7.83': {'type': 'PrimaryAmine', 'indices': [2]}}","[(19, 3.31), (2, 7.83)]"
NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C2O,"[4.47, 6.663333333333334]","[{'type': 'PhosphonicAcid', 'indices': [14]}, {'type': 'PhosphonicAcid', 'indices': [18]}, {'type': 'PhosphonicAcid', 'indices': [22]}, {'type': 'PhosphonicAcid', 'indices': [23]}, {'type': 'Aniline', 'indices': [0]}, {'type': 'AliphaticRingAlcohol', 'indices': [26]}, {'type': 'AliphaticRingAlcohol', 'indices': [28]}]","{'4.47': {'type': 'Aniline', 'indices': [0]}, '6.663333333333334': {'type': 'PhosphonicAcid', 'indices': [14]}}","[(0, 4.47), (14, 6.663333333333334)]"
NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1,"[2.93, 6.63]","[{'type': 'PhosphonicAcid', 'indices': [15]}, {'type': 'PhosphonicAcid', 'indices': [19]}, {'type': 'PhosphonicAcid', 'indices': [23]}, {'type': 'PhosphonicAcid', 'indices': [24]}, {'type': 'ImidazoleLike', 'indices': [6]}, {'type': 'ImidazoleLike', 'indices': [8]}, {'type': 'Aniline', 'indices': [0]}, {'type': 'AliphaticRingAlcohol', 'indices': [27]}, {'type': 'AliphaticRingAlcohol', 'indices': [29]}]","{'2.93': {'type': 'PhosphonicAcid', 'indices': [15]}, '6.63': {'type': 'PhosphonicAcid', 'indices': [19]}}","[(15, 2.93), (19, 6.63)]"
NCC(O)C(O)=O,"[2.66, 9.13]","[{'type': 'COOH', 'indices': [5]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'2.66': {'type': 'COOH', 'indices': [5]}, '9.13': {'type': 'PrimaryAmine', 'indices': [0]}}","[(5, 2.66), (0, 9.13)]"
NCC(O)CN,"[8.02, 9.56]","[{'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'8.02': {'type': 'PrimaryAmine', 'indices': [0]}, '9.56': {'type': 'PrimaryAmine', 'indices': [5]}}","[(0, 8.02), (5, 9.56)]"
CSCC[C@H](N)C(=O)NCC(O)=O,"[3.16, 7.59]","[{'type': 'COOH', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'3.16': {'type': 'COOH', 'indices': [11]}, '7.59': {'type': 'PrimaryAmine', 'indices': [5]}}","[(11, 3.16), (5, 7.59)]"
CSCC[C@H](N)C(=O)N[C@@H](CCSC)C(O)=O,"[3.22, 7.41]","[{'type': 'COOH', 'indices': [15]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'3.22': {'type': 'COOH', 'indices': [15]}, '7.41': {'type': 'PrimaryAmine', 'indices': [5]}}","[(15, 3.22), (5, 7.41)]"
CSCC[C@H](N)C(=O)N[C@H](CCSC)C(O)=O,"[2.98, 7.59]","[{'type': 'COOH', 'indices': [15]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'2.98': {'type': 'COOH', 'indices': [15]}, '7.59': {'type': 'PrimaryAmine', 'indices': [5]}}","[(15, 2.98), (5, 7.59)]"
CSCC[C@H](NC(=O)CN)C(O)=O,"[3.02, 8.12]","[{'type': 'COOH', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [9]}]","{'3.02': {'type': 'COOH', 'indices': [11]}, '8.12': {'type': 'PrimaryAmine', 'indices': [9]}}","[(11, 3.02), (9, 8.12)]"
COc1ccc(NCC(O)=O)cc1,"[2.0, 9.07]","[{'type': 'COOH', 'indices': [9]}, {'type': 'SecondaryAmine', 'indices': [6]}]","{'2.0': {'type': 'COOH', 'indices': [9]}, '9.07': {'type': 'SecondaryAmine', 'indices': [6]}}","[(9, 2.0), (6, 9.07)]"
C[C@@H](NC(=O)[C@H](C)NC(=O)CN)C(O)=O,"[3.19, 8.06]","[{'type': 'COOH', 'indices': [13]}, {'type': 'PrimaryAmine', 'indices': [11]}]","{'3.19': {'type': 'COOH', 'indices': [13]}, '8.06': {'type': 'PrimaryAmine', 'indices': [11]}}","[(13, 3.19), (11, 8.06)]"
C[C@@H](O)[C@H](N)C(O)=O,"[2.2, 8.94]","[{'type': 'COOH', 'indices': [6]}, {'type': 'PrimaryAmine', 'indices': [4]}]","{'2.2': {'type': 'COOH', 'indices': [6]}, '8.94': {'type': 'PrimaryAmine', 'indices': [4]}}","[(6, 2.2), (4, 8.94)]"
COc1cc(CCN)ccc1O,"[9.34, 10.47]","[{'type': 'Phenol', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [7]}]","{'9.34': {'type': 'Phenol', 'indices': [11]}, '10.47': {'type': 'PrimaryAmine', 'indices': [7]}}","[(11, 9.34), (7, 10.47)]"
COc1ccc(CCN)cc1O,"[9.23, 10.38]","[{'type': 'Phenol', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [8]}]","{'9.23': {'type': 'Phenol', 'indices': [11]}, '10.38': {'type': 'PrimaryAmine', 'indices': [8]}}","[(11, 9.23), (8, 10.38)]"
NC(C(O)C(O)C(O)CO)C(O)=O,"[2.2, 9.08]","[{'type': 'COOH', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'2.2': {'type': 'COOH', 'indices': [11]}, '9.08': {'type': 'PrimaryAmine', 'indices': [0]}}","[(11, 2.2), (0, 9.08)]"
NC(=O)CCN(CC(O)=O)CC(O)=O,"[2.41, 8.46]","[{'type': 'COOH', 'indices': [8]}, {'type': 'COOH', 'indices': [12]}, {'type': 'TertiaryAmine', 'indices': [5]}]","{'2.41': {'type': 'COOH', 'indices': [8]}, '8.46': {'type': 'TertiaryAmine', 'indices': [5]}}","[(8, 2.41), (5, 8.46)]"
CSCCN(CC(O)=O)CC(O)=O,"[2.0, 8.89]","[{'type': 'COOH', 'indices': [7]}, {'type': 'COOH', 'indices': [11]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.0': {'type': 'COOH', 'indices': [7]}, '8.89': {'type': 'TertiaryAmine', 'indices': [4]}}","[(7, 2.0), (4, 8.89)]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,"[3.16, 8.2]","[{'type': 'COOH', 'indices': [21]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.16': {'type': 'COOH', 'indices': [21]}, '8.2': {'type': 'PrimaryAmine', 'indices': [2]}}","[(21, 3.16), (2, 8.2)]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"[3.31, 7.83]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.31': {'type': 'COOH', 'indices': [19]}, '7.83': {'type': 'PrimaryAmine', 'indices': [2]}}","[(19, 3.31), (2, 7.83)]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"[3.28, 7.92]","[{'type': 'COOH', 'indices': [14]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.28': {'type': 'COOH', 'indices': [14]}, '7.92': {'type': 'PrimaryAmine', 'indices': [2]}}","[(14, 3.28), (2, 7.92)]"
FC1(F)CNCCNCCCNCCNC1,"[7.52, 10.78]","[{'type': 'SecondaryAmine', 'indices': [4]}, {'type': 'SecondaryAmine', 'indices': [7]}, {'type': 'SecondaryAmine', 'indices': [11]}, {'type': 'SecondaryAmine', 'indices': [14]}]","{'7.52': {'type': 'SecondaryAmine', 'indices': [4]}, '10.78': {'type': 'SecondaryAmine', 'indices': [7]}}","[(4, 7.52), (7, 10.78)]"
FC1CNCCNCCCNCCNC1,"[9.41, 10.96]","[{'type': 'SecondaryAmine', 'indices': [3]}, {'type': 'SecondaryAmine', 'indices': [6]}, {'type': 'SecondaryAmine', 'indices': [10]}, {'type': 'SecondaryAmine', 'indices': [13]}]","{'9.41': {'type': 'SecondaryAmine', 'indices': [3]}, '10.96': {'type': 'SecondaryAmine', 'indices': [6]}}","[(3, 9.41), (6, 10.96)]"
CO[P]([O-])(=O)O[P](O)(O)=O,"[1.6, 6.37]","[{'type': 'PhosphonicAcid', 'indices': [7]}, {'type': 'PhosphonicAcid', 'indices': [8]}]","{'1.6': {'type': 'PhosphonicAcid', 'indices': [7]}, '6.37': {'type': 'PhosphonicAcid', 'indices': [8]}}","[(7, 1.6), (8, 6.37)]"
COc1cc(CC(O)=O)ccc1O,"[4.31, 9.76]","[{'type': 'COOH', 'indices': [7]}, {'type': 'Phenol', 'indices': [12]}]","{'4.31': {'type': 'COOH', 'indices': [7]}, '9.76': {'type': 'Phenol', 'indices': [12]}}","[(7, 4.31), (12, 9.76)]"
