sample_id,SMILES,metal_ion,true_pka_values,predicted_positions,binding_sites
229,OCC(O)C(O)=O,Ca2+,[1.18],[5],"[0, 3, 5, 6]"
230,OCC(O[P](O)(=O)O[P](O)(O)=O)C(O)=O,Ca2+,[3.205],[13],"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14]"
231,OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,Ca2+,[8.1],[6],"[0, 3, 6, 9, 10, 13, 14, 17, 18]"
232,OCCN(CCO)Cc1ccccn1,Ca2+,[1.0],[13],"[0, 3, 6, 13]"
233,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,Ca2+,[1.21],[11],"[0, 3, 5, 7, 9, 11, 12]"
234,OC[C@H]1O[C@H](O[P](O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,Ca2+,[1.77],[8],"[0, 3, 5, 6, 7, 8, 9, 11, 13, 15]"
235,OC[P](O)(O)=O,Ca2+,[1.775],[3],"[0, 2, 3, 4, 5]"
236,O[C@@H]([C@H](O)C(O)=O)C(O)=O,Ca2+,[2.055],[5],"[0, 3, 5, 6, 8, 9]"
237,O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@@H](O)C=O,Ca2+,[1.48],[5],"[0, 3, 4, 5, 6, 7, 9, 11, 13]"
238,O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,Ca2+,[4.01],[11],"[0, 2, 5, 7, 9, 11, 12]"
239,O[P](O)(=O)C(Cl)(Cl)Cl,Ca2+,[1.25],[0],"[0, 1, 2, 3]"
240,O[P](O)(=O)C(Cl)(Cl)[P](O)(O)=O,Ca2+,[0.6200000000000001],[9],"[0, 1, 2, 3, 7, 8, 9, 10]"
241,O[P](O)(=O)C(Cl)Cl,Ca2+,[1.26],[0],"[0, 1, 2, 3]"
242,O[P](O)(=O)C(c1ccc(Cl)cc1)[P](O)(O)=O,Ca2+,[5.87],[14],"[0, 1, 2, 3, 12, 13, 14, 15]"
243,O[P](O)(=O)C1(CCC(=O)N1)[P](O)(O)=O,Ca2+,[6.86],[0],"[0, 1, 2, 3, 8, 9, 10, 11, 12, 13]"
244,O[P](O)(=O)C1CCCCC1,Ca2+,[1.65],[0],"[0, 1, 2, 3]"
245,O[P](O)(=O)CBr,Ca2+,[1.34],[0],"[0, 1, 2, 3]"
246,O[P](O)(=O)CCl,Ca2+,[1.46],[0],"[0, 1, 2, 3]"
247,O[P](O)(=O)CI,Ca2+,[1.37],[2],"[0, 1, 2, 3]"
248,O[P](O)(=O)C[P](O)(O)=O,Ca2+,[5.97],[2],"[0, 1, 2, 3, 5, 6, 7, 8]"
249,O[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O,Ca2+,[2.2866666666666666],[2],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
250,O[P](O)(=O)O[P](O)(O)=O,Ca2+,[5.39],[0],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
251,O[P](O)(=O)c1ccccc1,Ca2+,[1.4],[2],"[0, 1, 2, 3]"
252,O[P](O)([O-])=O,Ca2+,[5.195],[0],"[0, 1, 2, 3, 4]"
253,Oc1c(C=O)cccc1[N+]([O-])=O,Ca2+,[1.0],[0],"[0, 4, 9, 10, 11]"
254,Oc1c(Cl)cccc1C=O,Ca2+,[0.7],[0],"[0, 9]"
255,Oc1c(cc(c2cccnc12)[S](O)(=O)=O)[N+]([O-])=O,Ca2+,[1.37],[0],"[0, 9, 11, 12, 13, 14, 15, 16, 17]"
256,Oc1cc(Cl)ccc1C=O,Ca2+,[1.1],[0],"[0, 9]"
257,Oc1ccc(Cl)cc1C=O,Ca2+,[0.9],[0],"[0, 9]"
258,Oc1ccc(c2cccnc12)[S](O)(=O)=O,Ca2+,[2.66],[0],"[0, 9, 11, 12, 13, 14]"
259,Oc1ccc(cc1C=O)[N+]([O-])=O,Ca2+,[0.8],[0],"[0, 8, 9, 10, 11]"
260,Oc1cccc(Cl)c1C=O,Ca2+,[1.74],[0],"[0, 9]"
261,Oc1ccccc1C=O,Ca2+,[1.1],[0],"[0, 8]"
262,[Na+].OC([O-])=O.Oc1c(I)cc(c2cccnc12)[S](O)(=O)=O,Ca2+,[2.36],[5],"[1, 3, 4, 5, 15, 17, 18, 19, 20]"
263,[O-][N+](=O)c1ccc(O[P]([O-])([O-])=O)cc1,Ca2+,[1.26],[4],"[0, 1, 2, 7, 8, 9, 10, 11]"
264,[O-][P]([O-])(=O)O[P]([O-])(=O)Oc1ccccc1,Ca2+,[2.9],[11],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
265,[O-][P]([O-])(=O)Oc1cccc2ccccc12,Ca2+,[1.22],[7],"[0, 1, 2, 3, 4]"
266,[O-][P]([O-])(=O)Oc1ccccc1,Ca2+,[1.45],[9],"[0, 1, 2, 3, 4]"
267,[OH-],Ca2+,[0.96],[],[]
268,[nH]1ccnc1,Ca2+,[-0.1],[3],"[0, 3]"
269,c1ccc(nc1)c2ccccn2,Ca2+,[-0.05],[4],"[4, 11]"
270,c1cnc2c(c1)ccc3ncccc23,Ca2+,[1.0],[9],"[2, 9]"
271,CC(C)C1=CC(=O)C(=CC=C1)O,Ca2+,"[-2.77, 4.54]","[11, 10]","[6, 11]"
272,OC(=O)CN(CC(O)=O)C1C(=O)NC(=O)NC1=O,Ca2+,"[8.305, 13.9]","[4, 7]","[0, 2, 4, 7, 8, 11, 12, 14, 15, 17]"
273,OC(=O)c1cccc(n1)C(O)=O,Ca2+,"[4.36, 7.4]","[8, 0]","[0, 2, 8, 10, 11]"
274,C(CN(Cc1ccccn1)Cc2ccccn2)N(Cc3ccccn3)Cc4ccccn4,Cd2+,[16.09],[24],"[2, 9, 16, 17, 24, 31]"
275,C1CCNCCNCCNCCNC1,Cd2+,[11.3],[6],"[3, 6, 9, 12]"
276,C1CCNCCNCCNCCNCC1,Cd2+,[10.18],[6],"[3, 6, 9, 12]"
277,C1CN(CCN1)CCNCCN2CCNCC2,Cd2+,[4.27],[5],"[2, 5, 8, 11, 14]"
278,C1CNCCNCCCNCCNC1,Cd2+,[11.3],[9],"[2, 5, 9, 12]"
279,C1CNCCNCCCNCCNCCNC1,Cd2+,[15.5],[9],"[2, 5, 9, 12, 15]"
280,C1CNCCNCCN1,Cd2+,[9.3],[2],"[2, 5, 8]"
281,C1CNCCSCCOCCSCCN1,Cd2+,[7.1],[14],"[2, 5, 8, 11, 14]"
282,C1N2CN3CN1CN(C2)C3,Cd2+,[0.11],[1],"[1, 3, 5, 7]"
283,C=CCCCc1ccccn1,Cd2+,[1.0],[10],[10]
284,C=CCCc1ccccn1,Cd2+,[1.3],[9],[9]
285,C=CCc1ccccn1,Cd2+,[1.3],[8],[8]
286,C=Cc1ccccn1,Cd2+,[1.1],[7],[7]
287,C=Cc1ccncc1,Cd2+,[1.6],[5],[5]
288,CC(=C/C(O)=O)/C(O)=O,Cd2+,[2.2],[7],"[4, 5, 7, 8]"
289,CC(=O)[C@H]1CC[C@@]2(O)[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C,Cd2+,[16.43],[7],"[2, 7, 14, 21]"
290,CC(C(O)=O)C(O)=O,Cd2+,[2.58],[6],"[3, 4, 6, 7]"
291,CC(C)(C(O)=O)C(O)=O,Cd2+,[2.54],[7],"[4, 5, 7, 8]"
292,CC(C)C(C(O)=O)C(O)=O,Cd2+,[2.63],[5],"[5, 6, 8, 9]"
293,CC(N)CN,Cd2+,[-12.3],[4],"[2, 4]"
294,CC(O)=S,Cd2+,[2.4],[2],"[2, 3]"
295,CC(O)Cc1ccccn1,Cd2+,[1.6],[9],"[2, 9]"
296,CC1=CN(C2CC(O)C(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)O2)C(=O)NC1=O,Cd2+,[5.140000000000001],[20],"[3, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28]"
297,CCC(C(O)=O)C(O)=O,Cd2+,[2.59],[7],"[4, 5, 7, 8]"
298,CCC(CC)(C(O)=O)C(O)=O,Cd2+,[2.54],[9],"[6, 7, 9, 10]"
299,CCCCC(C(O)=O)C(O)=O,Cd2+,[2.61],[6],"[6, 7, 9, 10]"
300,CCCCCCCCCCCCCC1=C(C)C(=O)c2c(OC)cc(OC)c(O)c2O1,Cd2+,[7.02],[27],"[17, 20, 24, 27, 29]"
301,CCCCO[P]([O-])(=O)O[P]([O-])([O-])=O,Cd2+,[4.51],[7],"[4, 5, 6, 7, 8, 9, 10, 11, 12]"
302,CCCCO[P]([O-])([O-])=O,Cd2+,[2.61],[8],"[4, 5, 6, 7, 8]"
303,CCCCSCC(O)=O,Cd2+,[0.91],[7],"[4, 7, 8]"
304,CCCC[Se]CC(O)=O,Cd2+,[0.7],[7],"[7, 8]"
305,CCCc1ccccn1,Cd2+,[-1.1],[8],[8]
306,CCOC[P](O)(O)=O,Cd2+,[3.01],[6],"[2, 4, 5, 6, 7]"
307,CC[P](O)(O)=O,Cd2+,[2.94],[3],"[2, 3, 4, 5]"
308,CN(CCN1CCNCC1)CCN2CCNCC2,Cd2+,[3.48],[15],"[1, 4, 7, 12, 15]"
309,CN1CCCN(C)CCN(C)CCCN(C)CC1,Cd2+,[9.0],[14],"[1, 5, 9, 14]"
310,CN1CCCN2CCN(C)CCN(C)CCN(C)CCN(CCC1)CCN(C)CC2,Cd2+,[14.22],[8],"[1, 5, 8, 12, 16, 20, 26]"
311,CN1CCN(C)CCN(C)CCN(C)CC1,Cd2+,[13.06],[4],"[1, 4, 8, 12]"
312,CN1CCN(C)CCN(CCN(C)CCN(CCN(C)CC1)Cc2ccccn2)Cc3ccccn3,Cd2+,[10.12],[28],"[1, 4, 8, 11, 15, 18, 28, 35]"
313,CN1CCN(CC1)CCN(C)CCN2CCN(C)CC2,Cd2+,[3.09],[4],"[1, 4, 9, 13, 16]"
314,CN1CCNCCN(C)CCN(C)CCN(C)CCNCC1,Cd2+,[16.75],[4],"[1, 4, 7, 11, 15, 19]"
315,CN1CCNCCNCCN(C)CCNCCNCC1,Cd2+,[16.91],[7],"[1, 4, 7, 10, 14, 17]"
316,CN1CCSCCN(C)CCSCC1,Cd2+,[6.59],[1],"[1, 4, 7, 11]"
317,CNC(=O)[C@@H](N)CCSC,Cd2+,[2.29],[5],"[1, 3, 5, 8]"
318,CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(O)=O,Cd2+,[3.66],[20],"[1, 3, 8, 10, 11, 13, 16, 18, 20, 23, 24]"
319,CNCCSCCNC,Cd2+,[4.4],[1],"[1, 4, 7]"
320,CNCCSCCOCCSCCNC,Cd2+,[4.4],[13],"[1, 4, 7, 10, 13]"
321,CO[P]([O-])(=O)O[P]([O-])([O-])=O,Cd2+,[4.27],[9],"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
322,COc1cccc(SCC(O)=O)c1,Cd2+,[0.79],[10],"[1, 7, 10, 11]"
323,COc1ccccc1C(O)=O,Cd2+,[1.3],[9],"[1, 9, 10]"
324,COc1ccccc1SCC(O)=O,Cd2+,[0.86],[11],"[1, 8, 11, 12]"
325,COc1ccccc1[Se]CC(O)=O,Cd2+,[0.83],[11],"[1, 11, 12]"
326,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CS)C(O)=O,Cd2+,[14.06],[2],"[2, 4, 5, 9, 10, 13, 15, 16]"
327,C[C@H](N)C(=O)N[C@@H](CS)C(O)=O,Cd2+,[13.71],[2],"[2, 4, 5, 8, 10, 11]"
328,C[P](O)(O)=O,Cd2+,[2.9],[2],"[1, 2, 3, 4]"
329,Cc1c(cccc1N(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,Cd2+,[3.19],[19],"[7, 10, 11, 14, 15, 16, 19, 20, 23, 24]"
330,Cc1cc(ccc1N(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,Cd2+,[3.75],[14],"[7, 10, 11, 14, 15, 16, 19, 20, 23, 24]"
331,Cc1ncc(CO)c(CN)c1O,Cd2+,[4.59],[9],"[2, 6, 9, 11]"
332,Cc1ncc(C[n+]2csc(CCO[P](O)(=O)O[P](O)(O)=O)c2C)c(N)n1,Cd2+,[4.19],[24],"[2, 6, 8, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25]"
333,N,Cd2+,[2.57],[],[]
334,NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C2O,Cd2+,[5.095000000000001],[14],"[0, 2, 4, 5, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28]"
335,NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C2O,Cd2+,[4.23],[14],"[0, 2, 4, 5, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 24]"
336,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,Cd2+,[1.1],[0],"[0, 2, 4, 5, 9, 12, 14, 16]"
337,NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1,Cd2+,[5.18],[0],"[0, 2, 4, 6, 8, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 29, 31]"
338,NCC(CN)(CN)CN.NCC(CN)(CN)CN,Cd2+,[5.7],[13],"[0, 4, 6, 8, 9, 13, 15, 17]"
339,NCCC(=O)NC(Cc1[nH]cnc1)C(O)=O,Cd2+,[3.19],[0],"[0, 4, 5, 9, 11, 14, 15]"
340,NCCCN1CCCN(CCCN)CC1,Cd2+,[5.81],[0],"[0, 4, 8, 12]"
341,NCCCN1CCN(CCCN)CC1,Cd2+,[-4.5],[11],"[0, 4, 7, 11]"
342,NCCN1CCCN(CCN)CC1,Cd2+,[9.18],[0],"[0, 3, 7, 10]"
343,NCCN1CCCN(CCN)CCC1,Cd2+,[10.94],[0],"[0, 3, 7, 10]"
344,NCCN1CCN(CCN)CC1,Cd2+,[4.51],[9],"[0, 3, 6, 9]"
345,NCCNCCCc1ccccn1.NCCNCCc2ccccn2,Cd2+,[6.2],[13],"[0, 3, 12, 13, 16, 24]"
346,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](O[C@@H]2CO)O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)[C@H](N)[C@@H](O)[C@@H]1O,Cd2+,[9.11],[0],"[0, 3, 5, 8, 10, 13, 14, 17, 19, 22, 24, 26, 29, 31, 33, 35, 37, 39, 41]"
347,N[C@@H](CC(N)=O)C(O)=O,Cd2+,[7.05],[0],"[0, 4, 5, 7, 8]"
348,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,Cd2+,[6.18],[0],"[0, 5, 6, 9, 10, 13, 15, 19, 21, 22, 24, 25, 28, 29, 31, 32, 35, 36, 38, 39]"
349,N[C@@H](CCO)C(O)=O,Cd2+,[3.69],[0],"[0, 4, 6, 7]"
350,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,Cd2+,[5.5],[0],"[0, 2, 4, 6, 8, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30]"
351,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O,Cd2+,[-4.75],[0],"[0, 2, 4, 6, 8, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26]"
352,O=C1CCNCCNCCNCCNCCN1,Cd2+,[11.6],[13],"[0, 4, 7, 10, 13, 16]"
353,O=C1NC(=O)c2[nH]cnc2N1,Cd2+,[2.63],[8],"[0, 2, 4, 6, 8, 10]"
354,OC(=O)C(=C)O[P](O)(O)=O,Cd2+,[2.96],[0],"[0, 2, 5, 6, 7, 8, 9]"
355,OC(=O)C(C(O)=O)c1ccccc1,Cd2+,[2.23],[0],"[0, 2, 5, 6]"
356,OC(=O)C(CC=C)C(O)=O,Cd2+,[2.32],[8],"[0, 2, 8, 9]"
357,OC(=O)C(CCC=C)C(O)=O,Cd2+,[2.39],[0],"[0, 2, 9, 10]"
358,OC(=O)C(CCCC=C)C(O)=O,Cd2+,[2.6],[10],"[0, 2, 10, 11]"
359,OC(=O)C1(CCC1)C(O)=O,Cd2+,[2.68],[0],"[0, 2, 8, 9]"
360,OC(=O)CC(=C)C(O)=O,Cd2+,[2.3],[0],"[0, 2, 7, 8]"
361,OC(=O)CC(O)=O,Cd2+,[2.58],[5],"[0, 2, 5, 6]"
362,OC(=O)CCC(O)=O,Cd2+,[2.03],[0],"[0, 2, 6, 7]"
363,OC(=O)CCCC(O)=O,Cd2+,[2.0],[0],"[0, 2, 7, 8]"
364,OC(=O)CCCCC(O)=O,Cd2+,[2.1],[0],"[0, 2, 8, 9]"
365,OC(=O)CCCCCC(O)=O,Cd2+,[1.8],[9],"[0, 2, 9, 10]"
366,OC(=O)CCSCC(O)=O,Cd2+,[3.09],[0],"[0, 2, 5, 8, 9]"
367,OC(=O)CCSCCC(O)=O,Cd2+,[2.31],[0],"[0, 2, 5, 9, 10]"
368,OC(=O)CC[Se]CCC(O)=O,Cd2+,[2.07],[0],"[0, 2, 9, 10]"
369,OC(=O)CC[Te]CCC(O)=O,Cd2+,[2.85],[9],"[0, 2, 9, 10]"
370,OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O,Cd2+,[7.54],[19],"[0, 2, 4, 7, 8, 16, 17, 19, 20]"
371,OC(=O)CN(CC(O)=O)c1ccc(Cl)cc1N(CC(O)=O)CC(O)=O,Cd2+,[12.15],[7],"[0, 2, 4, 7, 8, 16, 19, 20, 23, 24]"
372,OC(=O)CN(CC(O)=O)c1ccc(cc1)N(CC(O)=O)CC(O)=O,Cd2+,[4.49],[18],"[0, 2, 4, 7, 8, 15, 18, 19, 22, 23]"
373,OC(=O)CN(CC(O)=O)c1cccc(c1)N(CC(O)=O)CC(O)=O,Cd2+,[3.68],[0],"[0, 2, 4, 7, 8, 15, 18, 19, 22, 23]"
374,OC(=O)CN(CC(O)=O)c1ccccc1C(O)=O,Cd2+,[7.43],[16],"[0, 2, 4, 7, 8, 16, 17]"
375,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,Cd2+,[16.5],[4],"[0, 2, 4, 7, 10, 11, 14, 15, 18, 19]"
376,OC(=O)CNCCNCC(O)=O,Cd2+,[9.1],[4],"[0, 2, 4, 7, 10, 11]"
377,OC(=O)CNCc1ccccn1,Cd2+,[6.1],[11],"[0, 2, 4, 11]"
378,OC(=O)CNc1cc(C(O)=O)c(cc1C(O)=O)N(CC(O)=O)CC(O)=O,Cd2+,[8.55],[0],"[0, 2, 4, 9, 10, 15, 16, 17, 20, 21, 24, 25]"
379,OC(=O)CNc1ccccc1,Cd2+,[2.0],[0],"[0, 2, 4]"
380,OC(=O)CNc1ccccc1C(O)=O.OC(=O)CNc2ccccc2C(O)=O,Cd2+,[2.3],[26],"[0, 2, 4, 12, 13, 14, 16, 18, 26, 27]"
381,OC(=O)COCC(O)=O,Cd2+,[3.21],[0],"[0, 2, 4, 7, 8]"
382,OC(=O)COc1ccccc1,Cd2+,[1.0],[0],"[0, 2, 4]"
383,OC(=O)COc1ccccc1C(O)=O.OC(=O)COc2ccccc2C(O)=O,Cd2+,[2.0],[0],"[0, 2, 4, 12, 13, 14, 16, 18, 26, 27]"
384,OC(=O)CSCCC=C,Cd2+,[0.51],[0],"[0, 2, 4]"
385,OC(=O)CSCCSCC(O)=O,Cd2+,[2.82],[0],"[0, 2, 4, 7, 10, 11]"
386,OC(=O)CSSCC(O)=O,Cd2+,[1.9],[8],"[0, 2, 4, 5, 8, 9]"
387,OC(=O)CSc1ccccc1,Cd2+,[1.2],[0],"[0, 2, 4]"
388,OC(=O)CSc1ccccc1C(O)=O.OC(=O)CSc2ccccc2C(O)=O,Cd2+,[2.0],[26],"[0, 2, 4, 12, 13, 14, 16, 18, 26, 27]"
389,OC(=O)C[Se]CC(O)=O,Cd2+,[2.57],[0],"[0, 2, 7, 8]"
390,OC(=O)C[Se]CCC=C,Cd2+,[0.7],[0],"[0, 2]"
391,OC(=O)C[Se]c1ccccc1,Cd2+,[0.68],[0],"[0, 2]"
392,OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,Cd2+,[20.97],[0],"[0, 2, 5, 6, 9, 12, 14, 15]"
393,OC(=O)[P](O)(O)=O,Cd2+,[5.45],[0],"[0, 2, 3, 4, 5, 6]"
394,OC(=O)c1ccccc1C(O)=O,Cd2+,[2.5],[0],"[0, 2, 10, 11]"
395,OC(=S)C(O)=S,Cd2+,[12.7],[4],"[0, 2, 4, 5]"
396,OC(C(CC(O)=O)C(O)=O)C(O)=O,Cd2+,[3.1],[5],"[0, 5, 6, 8, 9, 11, 12]"
397,OC(Cc1ccccn1)c2ccccc2,Cd2+,[1.35],[8],"[0, 8]"
398,OC(O)=O,Cd2+,[3.5],[0],"[0, 2, 3]"
399,OC1=CC=CC=CC1=O,Cd2+,[4.6],[0],"[0, 8]"
400,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,Cd2+,[5.165],[18],"[0, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 26, 28]"
401,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,Cd2+,[5.18],[19],"[0, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 26, 27, 29]"
402,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,Cd2+,[4.22],[10],"[0, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 24]"
403,OCC1=CC(=O)C(=CO1)O,Cd2+,[4.09],[9],"[0, 5, 8, 9]"
404,OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,Cd2+,[13.7],[6],"[0, 3, 6, 9, 10, 13, 14, 17, 18]"
405,OCCNCCc1ccccn1,Cd2+,[4.4],[11],"[0, 3, 11]"
406,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3C(=O)NC(=O)Nc23,Cd2+,[1.96],[9],"[0, 3, 6, 8, 9, 11, 14, 15, 17, 18]"
407,O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@@H](O)C=O,Cd2+,[2.49],[5],"[0, 3, 4, 5, 6, 7, 9, 11, 13]"
408,O[C@H]([C@@H](O)C(O)=O)C(O)=O,Cd2+,[6.72],[5],"[0, 3, 5, 6, 8, 9]"
409,O[P](O)(=O)CCl,Cd2+,[2.43],[0],"[0, 1, 2, 3]"
410,O[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O,Cd2+,[0.77],[11],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
411,O[P](O)([O-])=O,Cd2+,[6.12],[2],"[0, 1, 2, 3, 4]"
412,Oc1c(cc(c2cccnc12)[S](O)(=O)=O)[N+]([O-])=O,Cd2+,[4.14],[0],"[0, 9, 11, 12, 13, 14, 15, 16, 17]"
413,Oc1c(ccc2ccccc12)N=O,Cd2+,[3.33],[0],"[0, 11, 12]"
414,[O-][N+](=O)c1ccc(O[P]([O-])([O-])=O)cc1,Cd2+,[2.05],[1],"[0, 1, 2, 7, 8, 9, 10, 11]"
415,[O-][P]([O-])(=O)O[P]([O-])(=O)Oc1ccccc1,Cd2+,[4.21],[11],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
416,[O-][P]([O-])(=O)Oc1ccccc1,Cd2+,[2.38],[7],"[0, 1, 2, 3, 4]"
417,CC(=O)CN(CC(O)=O)CC(O)=O,Cd2+,"[6.77, 10.9]","[4, 11]","[2, 4, 7, 8, 11, 12]"
418,CC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,Cd2+,"[2.7, 4.65]","[12, 10]","[2, 3, 8, 10, 12, 13]"
419,CC(C)C1=CC(=O)C(=CC=C1)O,Cd2+,"[5.27, 9.94]","[11, 7]","[6, 11]"
420,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)[C@H]2C=C(C)C3=O)[C@@H]4C(C)(C)[C@]14OC(C)=O,Cd2+,"[9.7, 14.07]","[20, 25]","[14, 15, 20, 25, 28, 34, 40, 43]"
421,CCCC[C@H](N)C(O)=O,Cd2+,"[-7.33, -3.86]","[5, 7]","[5, 7, 8]"
422,CCC[C@H](N)C(O)=O,Cd2+,"[-7.03, 3.73]","[4, 6]","[4, 6, 7]"
423,CNCc1ccccn1,Cd2+,"[4.5, 8.1]","[8, 1]","[1, 8]"
424,COC(=O)[C@@H](N)CS,Cd2+,"[8.7, 16.3]","[5, 7]","[1, 3, 5, 7]"
425,COC(=O)[C@@H](N)Cc1c[nH]cn1,Cd2+,"[3.98, 6.79]","[5, 9]","[1, 3, 5, 9, 11]"
426,CSCC[C@H](NC(=O)CN)C(O)=O,Cd2+,"[-5.06, 2.82]","[9, 11]","[1, 5, 7, 9, 11, 12]"
427,C[C@@H](O)[C@H](N)C(O)=O,Cd2+,"[3.9, 7.1]","[4, 6]","[2, 4, 6, 7]"
428,C[C@H](N)C(=O)NO,Cd2+,"[4.52, 7.85]","[2, 6]","[2, 4, 5, 6]"
429,Cc1cc2cccnc2c3ncccc13,Cd2+,"[6.13, 11.0]","[7, 10]","[7, 10]"
430,Cc1cccc(CN(CC(O)=O)CC(O)=O)n1,Cd2+,"[8.72, 13.8]","[7, 16]","[7, 10, 11, 14, 15, 16]"
431,NCC(=O)NCC(=O)NCC(=O)NCC(O)=O,Cd2+,"[2.65, 5.2]","[0, 15]","[0, 3, 4, 7, 8, 11, 12, 15, 16]"
432,NCC(=O)NCC(=O)NCC(O)=O,Cd2+,"[2.7, 5.3]","[0, 11]","[0, 3, 4, 7, 8, 11, 12]"
433,NCC(=O)NO,Cd2+,"[4.81, 8.24]","[0, 5]","[0, 3, 4, 5]"
434,NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,Cd2+,"[3.36, 5.52]","[0, 11]","[0, 3, 4, 9, 11, 13, 14]"
435,NCC(N)=O,Cd2+,"[2.65, 4.88]","[0, 3]","[0, 3, 4]"
436,NCCNCCO.NCCNCCO,Cd2+,"[5.02, 9.19]","[7, 0]","[0, 3, 6, 7, 10, 13]"
437,NCCS,Cd2+,"[10.13, 17.8]","[0, 3]","[0, 3]"
438,NCc1ccccn1,Cd2+,"[4.4, 8.15]","[0, 7]","[0, 7]"
439,NNC(N)=S,Cd2+,"[2.33, 4.51]","[0, 1]","[0, 1, 3, 4]"
440,NNC(N)=[Se],Cd2+,"[2.96, 5.18]","[0, 1]","[0, 1, 3]"
441,N[C@@H](CC(O)=O)C(O)=O,Cd2+,"[4.35, 7.55]","[0, 4]","[0, 4, 5, 7, 8]"
442,N[C@@H](CCC(O)=O)C(O)=O,Cd2+,"[3.8, 6.73]","[0, 5]","[0, 5, 6, 8, 9]"
443,N[C@@H](CS)C(=O)NCC(O)=O,Cd2+,"[9.84, 17.4]","[0, 3]","[0, 3, 5, 6, 9, 10]"
